ax,ay,az,gx,gy,gz,recording,source_folder
0.7847399711608887,0.3827999830245971,-9.751830101013184,0.3149999976158142,-0.0437499992549419,-0.2275000065565109,1,1
0.8325899839401245,0.37322998046875,-9.742259979248049,0.332500010728836,-0.0087500000372529,-0.1400000005960464,1,1
0.861299991607666,0.3445200026035309,-9.73268985748291,0.3237499892711639,-0.0087500000372529,-0.21875,1,1
0.8517299890518188,0.37322998046875,-9.73268985748291,0.3149999976158142,-0.0437499992549419,-0.166250005364418,1,1
0.8517299890518188,0.3827999830245971,-9.751830101013184,0.332500010728836,-0.0350000001490116,-0.166250005364418,1,1
0.8230199813842773,0.37322998046875,-9.751830101013184,0.3762499988079071,-0.1312499940395355,-0.2012500017881393,1,1
0.8421599864959717,0.3827999830245971,-9.723119735717772,0.3062500059604645,0.0525000020861625,-0.1837500035762787,1,1
0.8421599864959717,0.3636599779129028,-9.751830101013184,0.3062500059604645,-0.0525000020861625,-0.166250005364418,1,1
0.8517299890518188,0.37322998046875,-9.723119735717772,0.2887499928474426,-0.0700000002980232,-0.1749999970197677,1,1
0.8421599864959717,0.3923699855804443,-9.751830101013184,0.3149999976158142,-0.0087500000372529,-0.1050000041723251,1,1
0.861299991607666,0.37322998046875,-9.723119735717772,0.332500010728836,-0.0437499992549419,-0.1574999988079071,1,1
0.8421599864959717,0.3636599779129028,-9.713549613952637,0.3062500059604645,-0.0612500011920928,-0.1837500035762787,1,1
0.8325899839401245,0.3636599779129028,-9.742259979248049,0.332500010728836,-0.0350000001490116,-0.1487500071525573,1,1
0.8325899839401245,0.3636599779129028,-9.77096939086914,0.3675000071525574,-0.0262500010430812,-0.1837500035762787,1,1
0.7943099737167358,0.3923699855804443,-9.684840202331545,0.3587500154972076,0.0874999985098838,-0.166250005364418,1,1
0.8134499788284302,0.3636599779129028,-9.742259979248049,0.3937500119209289,0.0525000020861625,-0.0962499976158142,1,1
0.8708699941635132,0.3636599779129028,-9.694409370422363,0.3062500059604645,-0.0262500010430812,-0.1749999970197677,1,1
0.8325899839401245,0.3445200026035309,-9.73268985748291,0.3062500059604645,-0.0787499994039535,-0.1574999988079071,1,1
0.8325899839401245,0.4115099906921386,-9.751830101013184,0.262499988079071,-0.0175000000745058,-0.1487500071525573,1,1
0.7943099737167358,0.3636599779129028,-9.742259979248049,0.3149999976158142,-0.0087500000372529,-0.166250005364418,1,1
0.8421599864959717,0.354090005159378,-9.751830101013184,0.3587500154972076,-0.1312499940395355,-0.166250005364418,1,1
0.8708699941635132,0.3445200026035309,-9.751830101013184,0.3499999940395355,-0.0175000000745058,-0.2100000083446502,1,1
0.8325899839401245,0.3827999830245971,-9.742259979248049,0.2975000143051147,-0.0087500000372529,-0.1487500071525573,1,1
0.8134499788284302,0.354090005159378,-9.694409370422363,0.3237499892711639,-0.0350000001490116,-0.166250005364418,1,1
0.8230199813842773,0.3253799974918365,-9.751830101013184,0.3587500154972076,-0.0175000000745058,-0.2012500017881393,1,1
0.8804399967193604,0.3445200026035309,-9.7039794921875,0.2975000143051147,-0.0437499992549419,-0.1749999970197677,1,1
0.8421599864959717,0.3827999830245971,-9.742259979248049,0.3412500023841858,0.0,-0.1400000005960464,1,1
0.8517299890518188,0.37322998046875,-9.742259979248049,0.332500010728836,-0.0350000001490116,-0.1225000023841857,1,1
0.8325899839401245,0.3923699855804443,-9.723119735717772,0.2975000143051147,0.0262500010430812,-0.1487500071525573,1,1
0.8325899839401245,0.3253799974918365,-9.76140022277832,0.2800000011920929,-0.0087500000372529,-0.1312499940395355,1,1
0.8708699941635132,0.3827999830245971,-9.76140022277832,0.2800000011920929,-0.0350000001490116,-0.1225000023841857,1,1
0.8230199813842773,0.354090005159378,-9.713549613952637,0.3237499892711639,-0.0262500010430812,-0.1487500071525573,1,1
0.861299991607666,0.3349500000476837,-9.723119735717772,0.3499999940395355,-0.0087500000372529,-0.1574999988079071,1,1
0.8325899839401245,0.3445200026035309,-9.780539512634276,0.2887499928474426,-0.0087500000372529,-0.1574999988079071,1,1
0.8421599864959717,0.4497900009155273,-9.751830101013184,0.2800000011920929,-0.0437499992549419,-0.1574999988079071,1,1
0.8517299890518188,0.3923699855804443,-9.684840202331545,0.3062500059604645,-0.0437499992549419,-0.1050000041723251,1,1
0.8517299890518188,0.3923699855804443,-9.723119735717772,0.3149999976158142,-0.0962499976158142,-0.1137500032782554,1,1
0.861299991607666,0.3827999830245971,-9.77096939086914,0.3149999976158142,-0.0350000001490116,-0.1312499940395355,1,1
0.803879976272583,0.354090005159378,-9.73268985748291,0.3062500059604645,-0.0175000000745058,-0.166250005364418,1,1
0.8230199813842773,0.37322998046875,-9.73268985748291,0.2887499928474426,-0.0087500000372529,-0.166250005364418,1,1
0.861299991607666,0.354090005159378,-9.76140022277832,0.3849999904632568,0.0262500010430812,-0.166250005364418,1,1
0.8230199813842773,0.3349500000476837,-9.675270080566406,0.2975000143051147,-0.0350000001490116,-0.1400000005960464,1,1
0.8995800018310547,0.3827999830245971,-9.751830101013184,0.3062500059604645,0.0,-0.166250005364418,1,1
0.8708699941635132,0.4019399881362915,-9.694409370422363,0.4025000035762787,-0.0350000001490116,-0.1312499940395355,1,1
0.8517299890518188,0.3636599779129028,-9.73268985748291,0.3412500023841858,-0.0612500011920928,-0.2275000065565109,1,1
0.8421599864959717,0.37322998046875,-9.723119735717772,0.3237499892711639,-0.0175000000745058,-0.2100000083446502,1,1
0.8421599864959717,0.4115099906921386,-9.73268985748291,0.3237499892711639,-0.0350000001490116,-0.2100000083446502,1,1
0.8325899839401245,0.3827999830245971,-9.675270080566406,0.3062500059604645,-0.0437499992549419,-0.1400000005960464,1,1
0.8708699941635132,0.3636599779129028,-9.76140022277832,0.3149999976158142,0.0175000000745058,-0.1574999988079071,1,1
0.8708699941635132,0.3636599779129028,-9.723119735717772,0.2887499928474426,-0.0262500010430812,-0.21875,1,1
0.8325899839401245,0.354090005159378,-9.76140022277832,0.332500010728836,-0.0612500011920928,-0.166250005364418,1,1
0.8325899839401245,0.3827999830245971,-9.73268985748291,0.3062500059604645,-0.0437499992549419,-0.1137500032782554,1,1
0.8230199813842773,0.354090005159378,-9.76140022277832,0.3062500059604645,0.0874999985098838,-0.1312499940395355,1,1
0.8421599864959717,0.3636599779129028,-9.77096939086914,0.3237499892711639,-0.0700000002980232,-0.166250005364418,1,1
0.8421599864959717,0.3636599779129028,-9.742259979248049,0.332500010728836,-0.0787499994039535,-0.1924999952316284,1,1
0.8421599864959717,0.3349500000476837,-9.694409370422363,0.3499999940395355,-0.0612500011920928,-0.1487500071525573,1,1
0.8134499788284302,0.3636599779129028,-9.73268985748291,0.3149999976158142,-0.0437499992549419,-0.1400000005960464,1,1
0.8325899839401245,0.3349500000476837,-9.742259979248049,0.3237499892711639,0.0175000000745058,-0.1749999970197677,1,1
0.8517299890518188,0.3827999830245971,-9.73268985748291,0.3412500023841858,-0.0175000000745058,-0.1837500035762787,1,1
0.861299991607666,0.3636599779129028,-9.723119735717772,0.3675000071525574,-0.0525000020861625,-0.166250005364418,1,1
0.8325899839401245,0.3349500000476837,-9.742259979248049,0.3412500023841858,-0.0874999985098838,-0.0962499976158142,1,1
0.861299991607666,0.4019399881362915,-9.713549613952637,0.332500010728836,-0.0525000020861625,-0.1225000023841857,1,1
0.8325899839401245,0.3827999830245971,-9.77096939086914,0.332500010728836,-0.0350000001490116,-0.1312499940395355,1,1
